Brand,Rating,N_Reviews,Price,Screen_size,warranty,pixels,os,discount
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
Coocaa,4.2,96 ,"₹18,999",43,1,1920 x 1080,Google,65
SAMSUNG,4.4,"2,520 ","₹80,990",65,1,3840 x 2160,Tizen,35
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Thomson,4.6,945 ,"₹59,999",65,1,3840 x 2160,Google,29
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
LG,4.3,127 ,"₹17,999",32,1,1366 x 768,WebOS,36
Blaupunkt,4.6,"1,531 ","₹32,999",55,1,3840 x 2160,Android,41
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
KODAK,4.4,"6,156 ","₹20,999",43,1,3840 x 2160,Android,44
LG,4.5,3 ,"₹16,599",32,1,1366 x 768,,21
SKYTRON,,,"₹18,999",43,1,3840 x 2160,WebOS,68
iFFALCON,4.3,65 ,"₹1,55,990",65,1,3840 x 2160,Android,
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
LG,4.4,"1,931 ","₹48,990",55,1,3840 x 2160,WebOS,38
LG,4.6,8 ,"₹71,990",55,1,3840 x 2160,WebOS,52
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Compaq,4.2,485 ,"₹33,999",55,1,3840 x 2160,Android,30
SAMSUNG,,,"₹1,29,990",75,1,3840 x 2160,Tizen,51
Blaupunkt,4.4,"2,884 ","₹16,499",40,1,1080 x 1920,Android,38
LG,,,"₹1,99,990",65,1,3840 x 2160,WebOS,37
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
SAMSUNG,4.5,0 ,"₹30,890",43,1,1920 x 1080,Tizen,32
SONY,,,"₹2,99,990",65,1,3840 x 2160,Android,37
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
